Ref,Sub Ref,Temperature (K),Type Alcohol,FAME/FAEE_F,GLYCEROL_F,ALCOHOL_F,OIL_F,DAG_F,MAG_F,ACID_F,WATER_F,FAME/FAEE_L,GLYCEROL_L,ALCOHOL_L,OIL_L,DAG_L,MAG_L,ACID_L,WATER_L,FAME/FAEE_H,GLYCEROL_H,ALCOHOL_H,OIL_H,DAG_H,MAG_H,ACID_H,WATER_H,Reconcile phi,Type Alcohol_right,MW_FAME/FAEE,MW_Oil,MW_DAG,MW_MAG,MW_FA
2,a,333.15,2,0.3593,0.3627,0.278,0.0,0.0,0.0,0.0,0.0,0.8278125942826489,0.02149986339165826,0.1506102475547953,0.0,0.0,0.0,0.0,0.0,0.04312582431637383,0.5929577844261771,0.3639685533781081,0.0,0.0,0.0,0.0,0.0,0.4029304275095845,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
2,a,333.15,2,0.3338,0.3375,0.3287,0.0,0.0,0.0,0.0,0.0,0.7996895580428721,0.023299669180357,0.1771146651636455,0.0,0.0,0.0,0.0,0.0,0.03950369291251719,0.5359762170552388,0.4244544625777028,0.0,0.0,0.0,0.0,0.0,0.3871373049497804,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
3,a,298.15,2,0.4069,0.1465,0.4465999999999999,0.0,0.0,0.0,0.0,0.0,0.723589252319884,0.02829951934332692,0.2481112519424739,0.0,0.0,0.0,0.0,0.0,0.1000234129065359,0.2610380205706759,0.638938543648529,0.0,0.0,0.0,0.0,0.0,0.4921318130290365,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
3,a,298.15,2,0.4009,0.2037,0.3954,0.0,0.0,0.0,0.0,0.0,0.7976516145125669,0.01790266221329879,0.1844457464682819,0.0,0.0,0.0,0.0,0.0,0.04193548694495437,0.371801775634777,0.5862627164351596,0.0,0.0,0.0,0.0,0.0,0.4749991431444339,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
3,a,298.15,2,0.3931,0.3608,0.2461,0.0,0.0,0.0,0.0,0.0,0.8987658515910768,0.008446816047447228,0.09272747711965802,0.0,0.0,0.0,0.0,0.0,0.002921785804202934,0.6326802063620234,0.3644441929010258,0.0,0.0,0.0,0.0,0.0,0.4355425560061951,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
3,a,298.15,2,0.4048,0.3969,0.1983,0.0,0.0,0.0,0.0,0.0,0.9177227444534375,0.007532509046568322,0.07423052667964039,0.0,0.0,0.0,0.0,0.0,0.002975255458815408,0.7019313020369633,0.2954962833807197,0.0,0.0,0.0,0.0,0.0,0.4392739519654992,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
3,a,318.15,2,0.397,0.2002,0.4028,0.0,0.0,0.0,0.0,0.0,0.7494705687067483,0.03328197502743632,0.2172474796563455,0.0,0.0,0.0,0.0,0.0,0.05378218263063379,0.3627362379074342,0.5834815566854298,0.0,0.0,0.0,0.0,0.0,0.4933499311454871,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
3,a,318.15,2,0.405,0.2441,0.3509,0.0,0.0,0.0,0.0,0.0,0.8026006921894444,0.02219464308613873,0.1752046876964926,0.0,0.0,0.0,0.0,0.0,0.02304929247013627,0.4572709268693432,0.5196797585926504,0.0,0.0,0.0,0.0,0.0,0.489962185517712,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
3,a,318.15,2,0.4038,0.2958,0.3004,0.0,0.0,0.0,0.0,0.0,0.845558748516741,0.01726037652859633,0.1371809000788893,0.0,0.0,0.0,0.0,0.0,0.01072462556533497,0.5436435733497725,0.4456317787294444,0.0,0.0,0.0,0.0,0.0,0.4708424867026491,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
3,a,318.15,2,0.4042,0.35,0.2458,0.0,0.0,0.0,0.0,0.0,0.8800892238947362,0.01548720625106663,0.1047564567659439,0.0,0.0,0.0,0.0,0.0,0.006688350638558892,0.629419507101625,0.3636140808566679,0.0,0.0,0.0,0.0,0.0,0.455130812818465,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
3,a,318.15,2,0.4018,0.3976,0.2006,0.0,0.0,0.0,0.0,0.0,0.9079998579673147,0.008861321247726615,0.08348994901453947,0.0,0.0,0.0,0.0,0.0,0.005852192929481834,0.7016700722310196,0.292203083532678,0.0,0.0,0.0,0.0,0.0,0.4388946759108593,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
3,a,338.15,2,0.3964,0.1579,0.4457,0.0,0.0,0.0,0.0,0.0,0.5754171147333135,0.0813448874689587,0.3432380136095469,0.0,0.0,0.0,0.0,0.0,0.1343259444459602,0.2699736910786124,0.5957003413275426,0.0,0.0,0.0,0.0,0.0,0.5941494031342976,2,354.3764906790272,1017.129472037082,691.7529813580544,366.3764906790272,312.3764906790272
