Ref,Sub Ref,Temperature (K),Type Alcohol,FAME/FAEE_F,GLYCEROL_F,ALCOHOL_F,OIL_F,DAG_F,MAG_F,ACID_F,WATER_F,FAME/FAEE_L,GLYCEROL_L,ALCOHOL_L,OIL_L,DAG_L,MAG_L,ACID_L,WATER_L,FAME/FAEE_H,GLYCEROL_H,ALCOHOL_H,OIL_H,DAG_H,MAG_H,ACID_H,WATER_H,Reconcile phi,Type Alcohol_right,MW_FAME/FAEE,MW_Oil,MW_DAG,MW_MAG,MW_FA
16,a,298.15,1,0.4,0.232,0.368,0.0,0.0,0.0,0.0,0.0,0.8734810817691842,9.981751561170403e-6,0.1245020081239032,0.0,0.0,0.0,0.0,0.0,0.007581075443368357,0.4242722511504805,0.5698100063188972,0.0,0.0,0.0,0.0,0.0,0.4531919640718591,1,310.0,926.0,631.0,336.0,282.0
16,a,308.15,1,0.5,0.43,0.07,0.0,0.0,0.0,0.0,0.0,0.9663908840773536,0.0005748448514114225,0.03339014220844738,0.0,0.0,0.0,0.0,0.0,0.00001000000000000024,0.8903612348630987,0.1092472568013625,0.0,0.0,0.0,0.0,0.0,0.5173839924176092,1,310.0,926.0,631.0,336.0,282.0
16,a,308.15,1,0.5,0.37,0.13,0.0,0.0,0.0,0.0,0.0,0.949499691701623,0.0006364288118894039,0.04968521369652319,0.0,0.0,0.0,0.0,0.0,9.999999999999701e-6,0.780852544212494,0.2193361903138551,0.0,0.0,0.0,0.0,0.0,0.5265881287283336,1,310.0,926.0,631.0,336.0,282.0
16,a,308.15,1,0.5,0.286,0.214,0.0,0.0,0.0,0.0,0.0,0.9145373139723054,0.0007429737753056188,0.08442647820097886,0.0,0.0,0.0,0.0,0.0,0.0001923236264944679,0.6299344219230062,0.3702268067723987,0.0,0.0,0.0,0.0,0.0,0.5466292063179294,1,310.0,926.0,631.0,336.0,282.0
16,a,318.15,1,0.5,0.233,0.267,0.0,0.0,0.0,0.0,0.0,0.8793529837206221,0.006715942890911735,0.1151908222769954,0.0,0.0,0.0,0.0,0.0,0.0002142601405590441,0.5311221968823381,0.4670038630554754,0.0,0.0,0.0,0.0,0.0,0.5684947397427723,1,310.0,926.0,631.0,336.0,282.0
17,a,333.15,2,0.519,0.2,0.281,0.0,0.0,0.0,0.0,0.0,0.6736599311890726,0.04940547403280783,0.2769407449973703,0.0,0.0,0.0,0.0,0.0,0.005273705482319972,0.70022243773789,0.2944834278986843,0.0,0.0,0.0,0.0,0.0,0.7686069442476393,1,324.1692065909346,968.5076197728038,659.3384131818692,350.1692065909346,296.1692065909346
18,a,298.15,1,0.3998,0.2528,0.3474,0.0,0.0,0.0,0.0,0.0,0.805229548360919,0.02010483086137659,0.1747791112607901,0.0,0.0,0.0,0.0,0.0,0.02094515539788205,0.4702426913383175,0.5087061017450916,0.0,0.0,0.0,0.0,0.0,0.483057992740107,1,305.9049049583612,913.7147148750837,622.8098099167224,331.9049049583612,277.9049049583612
18,a,303.15,1,0.4724,0.4551,0.0725,0.0,0.0,0.0,0.0,0.0,0.9347288493633978,0.02217524290257729,0.04278725094634061,0.0,0.0,0.0,0.0,0.0,0.003867110396020531,0.8938342206813518,0.1026114676087334,0.0,0.0,0.0,0.0,0.0,0.5033324176839967,1,305.9049049583612,913.7147148750837,622.8098099167224,331.9049049583612,277.9049049583612
19,a,303.15,1,0.2051,0.2047,0.5902000000000001,0.0,0.0,0.0,0.0,0.0,0.8712388324851739,0.001591632146934172,0.1271492895241312,0.0,0.0,0.0,0.0,0.0,0.03185435969683881,0.2575232817599889,0.7106276239683281,0.0,0.0,0.0,0.0,0.0,0.2063960508200251,1,305.4415999507858,912.3247998523573,621.8831999015715,331.4415999507858,277.4415999507858
19,a,313.15,1,0.4224,0.4401,0.1375,0.0,0.0,0.0,0.0,0.0,0.9642373409527818,0.008523805844959988,0.02755134393495829,0.0,0.0,0.0,0.0,0.0,0.003167535780313154,0.7740207871056243,0.2225698955866298,0.0,0.0,0.0,0.0,0.0,0.4362143748179182,1,305.4415999507858,912.3247998523573,621.8831999015715,331.4415999507858,277.4415999507858
19,b,293.15,1,0.4265,0.4134,0.1601,0.0,0.0,0.0,0.0,0.0,0.9495996350119347,0.006510965289381459,0.04388880447256138,0.0,0.0,0.0,0.0,0.0,0.002974811370944166,0.7428358161289436,0.2541898544221764,0.0,0.0,0.0,0.0,0.0,0.447405538130784,1,302.4077160226916,903.2231480680749,615.8154320453832,328.4077160226916,274.4077160226916
19,b,293.15,1,0.264,0.2656,0.4704,0.0,0.0,0.0,0.0,0.0,0.9104250567899054,0.0008811442500306731,0.08874629967722739,0.0,0.0,0.0,0.0,0.0,0.004414746518316678,0.3719032915408332,0.6236608791999668,0.0,0.0,0.0,0.0,0.0,0.2865146792908672,1,302.4077160226916,903.2231480680749,615.8154320453832,328.4077160226916,274.4077160226916
19,b,303.15,1,0.2783,0.3435,0.3782,0.0,0.0,0.0,0.0,0.0,0.915714155229193,0.009143288673054611,0.07525288559857801,0.0,0.0,0.0,0.0,0.0,0.006646926987795356,0.4859960951511349,0.5073099576502739,0.0,0.0,0.0,0.0,0.0,0.2988261644165977,1,302.4077160226916,903.2231480680749,615.8154320453832,328.4077160226916,274.4077160226916
19,b,303.15,1,0.4329,0.2917,0.2754,0.0,0.0,0.0,0.0,0.0,0.9399731860710071,0.0007060296847468156,0.05933628494783634,0.0,0.0,0.0,0.0,0.0,0.000602679809545048,0.5397823617071504,0.4596017436007053,0.0,0.0,0.0,0.0,0.0,0.4601989495187859,1,302.4077160226916,903.2231480680749,615.8154320453832,328.4077160226916,274.4077160226916
19,b,303.15,1,0.214,0.293,0.493,0.0,0.0,0.0,0.0,0.0,0.910003266742152,0.005906553616498405,0.08409025704041856,0.0,0.0,0.0,0.0,0.0,0.01329852746063858,0.3757870790251843,0.6109143711951623,0.0,0.0,0.0,0.0,0.0,0.2238211350373523,1,302.4077160226916,903.2231480680749,615.8154320453832,328.4077160226916,274.4077160226916
20,a,298.15,2,0.3994,0.3994,0.2012,0.0,0.0,0.0,0.0,0.0,0.9040605532919875,0.01299504945086651,0.08293982373976698,0.0,0.0,0.0,0.0,0.0,0.003324789253918618,0.7026640875609071,0.2940147126411914,0.0,0.0,0.0,0.0,0.0,0.4397240861964281,2,311.2021257355889,887.6063772067668,605.4042514711778,323.2021257355889,269.2021257355889
20,a,298.15,2,0.3084,0.3085,0.3831,0.0,0.0,0.0,0.0,0.0,0.822405090759444,0.01151944293457161,0.1660755067215781,0.0,0.0,0.0,0.0,0.0,0.02345198174755301,0.4731365429382602,0.5034114529090713,0.0,0.0,0.0,0.0,0.0,0.356651742184041,2,311.2021257355889,887.6063772067668,605.4042514711778,323.2021257355889,269.2021257355889
21,a,313.0,2,0.1001,0.0,0.4487,0.4513,0.0,0.0,0.0,0.0,0.03887320030668294,0.0,0.9416521563990996,0.01955798446001357,0.0,0.0,0.0,0.0,0.1442955916554717,0.0,0.09287032542896682,0.7629461078301025,0.0,0.0,0.0,0.0,0.4192239531851551,2,319.8377651378931,913.5132954136797,622.6755302757863,331.8377651378931,277.8377651378931
21,a,313.0,2,0.4011,0.0,0.2996,0.2993,0.0,0.0,0.0,0.0,0.188366581683225,0.0,0.7957543919892348,0.01588715356459916,0.0,0.0,0.0,0.0,0.4555862649146591,0.0,0.1725226472530888,0.3718890062467875,0.0,0.0,0.0,0.0,0.2039006418081467,2,319.8377651378931,913.5132954136797,622.6755302757863,331.8377651378931,277.8377651378931
21,a,313.0,2,0.3015,0.0,0.3494,0.3491,0.0,0.0,0.0,0.0,0.1328006084251798,0.0,0.84944314123067,0.01775488574408094,0.0,0.0,0.0,0.0,0.3726907976860003,0.0,0.1383828186734368,0.4889269594989968,0.0,0.0,0.0,0.0,0.2967641065495937,2,319.8377651378931,913.5132954136797,622.6755302757863,331.8377651378931,277.8377651378931
21,a,313.0,2,0.4011,0.0,0.2996,0.2993,0.0,0.0,0.0,0.0,0.188366581683225,0.0,0.7957543919892348,0.01588715356459916,0.0,0.0,0.0,0.0,0.4555862649146591,0.0,0.1725226472530888,0.3718890062467875,0.0,0.0,0.0,0.0,0.2039006418081467,2,319.8377651378931,913.5132954136797,622.6755302757863,331.8377651378931,277.8377651378931
