Systems,Temperature (K),K_FAME/FAEE,K_GLYCEROL,K_ALCOHOL,K_OIL,K_DAG,K_MAG,K_ACID,K_WATER
Sunflower oil biodiesel - Methanol - Glycerol,293.15,1.197841634127724,0.3396205053158397,0.07528229567125021,0.0,0.0,0.0,0.0,0.0
Chicha oil biodiesel - Ethanol - Glycerol,318.15,0.3088283349705075,0.4388848634827914,0.04407212947125161,0.0,0.0,0.0,0.0,0.0
Sunflower oil biodiesel - Methanol - Glycerol,308.15,0.4442951434700048,0.26096021649455997,0.06864993249806041,0.0,0.0,0.0,0.0,0.0
Canola oil biodiesel - Methanol - Glycerol,303.15,0.7124410050258794,0.676059231825156,0.061228150358183596,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Ethanol - Water,298.2,0.960480171997488,0.0,0.05925903191876681,0.0,0.0,0.0,0.0,1.1950806227984756
Cambre oil biodiesel - Ethanol - Glycerol,338.15,0.7304343808791357,0.4749407317869122,0.09079576144609627,0.0,0.0,0.0,0.0,0.0
Garlic oil - Linoleic acid - Ethanol - Water,298.15,0.0,0.0,0.6117413198150157,1.3479538574421077,0.0,0.0,0.125005558362291,0.9192514369323311
Sunflower oil biodiesel - Methanol - Glycerol,323.15,1.7971628914710953,0.8110172403460737,0.07399811690319048,0.0,0.0,0.0,0.0,0.0
Linseed oil biodiesel - Methanol - Glycerol,300.0,0.2604475922947619,1.163581798740245,0.09744344324703537,0.0,0.0,0.0,0.0,0.0
Cottonseed oil biodiesel - Ethanol - Glycerol,333.15,0.01863585789034891,0.09640415091505505,0.03446331871120441,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Ethanol - Glycerol,300.15,0.08996639631318905,0.38529981311146444,0.03240666240954755,0.0,0.0,0.0,0.0,0.0
Linseed oil biodiesel - Methanol - Glycerol,330.0,0.2644036718673733,0.9005708922760108,0.0763094425580217,0.0,0.0,0.0,0.0,0.0
Refined cottonseed oil - Ethanol - Linoelic acid - Water,298.15,0.0,0.0,0.9099498245550914,1.9722284605674274,0.0,0.0,0.1123408167563658,1.1419444307845221
Refined rice bran oil biodiesel - DAG - MAG - Ethanol,303.2,0.0,0.0,0.14728100303377695,0.24867346699540935,0.11001036702413018,0.1607933790950275,0.0,0.0
