Systems,Temperature (K),K_FAME/FAEE,K_GLYCEROL,K_ALCOHOL,K_OIL,K_DAG,K_MAG,K_ACID,K_WATER
Cottonseed oil biodiesel - Ethanol - Glycerol,333.15,-1.3017881068887167,1.4981798664990482,0.36650811731871175,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Ethanol - Glycerol,293.15,-1.6451000805104343,1.460032231761986,0.3984194847727916,0.0,0.0,0.0,0.0,0.0
Canola oil - Oleic acid - Methanol/Ethanol/Propanol,283.15,0.0,0.0,-0.5000967726598387,0.7404418514918242,0.0,0.0,-0.059798192466794055,0.0
Mixed oil - Oleic acid - Ethanol,308.15,0.0,0.0,-0.4060107576390964,0.5202164148968335,0.0,0.0,-0.056921115976238904,0.0
Cottonseed oil biodiesel - Ethanol - Glycerol,293.15,-1.5473693506873492,1.4893667232870698,0.3443770504435094,0.0,0.0,0.0,0.0,0.0
Oleic oil biodiesel - Ethanol - Glycerol,323.15,-1.629474945632009,1.3069540777599444,0.42981892728771653,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Methanol - Glycerol,318.15,-2.1615794877543424,2.793820124441157,0.6153062493862989,0.0,0.0,0.0,0.0,0.0
Sunflower oil biodiesel - Methanol - Glycerol,303.15,-3.0041494133701314,2.9538406146948786,0.804206488947538,0.0,0.0,0.0,0.0,0.0
Palm oil - Oleic acid - Ethanol - Water,318.15,0.0,0.0,0.6941450331739527,-1.5462831310782654,0.0,0.0,-0.0655919441164558,0.6619769805150206
Refined soybean oil biodiesel - DAG - MAG - Ethanol,318.2,0.0,0.0,-0.7363383423804258,1.0323387065027567,0.14921178163532728,0.0,0.0,0.0
Sunflower oil biodiesel - Ethanol - Glycerol,298.15,-1.335202075273701,1.7762399357405405,0.30813728143579966,0.0,0.0,0.0,0.0,0.0
Macadamia Nut oil - Oleic acid - Ethanol - Water,298.15,0.0,0.0,0.45664303390643113,-0.8470708827949487,0.0,0.0,-0.04419257116062743,0.8456745930145501
