,Ref,Sub Ref,Temperature (K),Type Alcohol,FAME/FAEE_F,GLYCEROL_F,ALCOHOL_F,OIL_F,DAG_F,MAG_F,ACID_F,WATER_F,FAME/FAEE_L,GLYCEROL_L,ALCOHOL_L,OIL_L,DAG_L,MAG_L,ACID_L,WATER_L,FAME/FAEE_H,GLYCEROL_H,ALCOHOL_H,OIL_H,DAG_H,MAG_H,ACID_H,WATER_H,R2_othmer_tobias,a_othmer_tobias,b_othmer_tobias
26,3,a,298.15,2,0.40090000000000003,0.20370000000000002,0.3954,0.0,0.0,0.0,0.0,0.0,0.7978000000000001,0.0174,0.1848,0.0,0.0,0.0,0.0,0.0,0.04190000000000001,0.3714,0.5867,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
27,3,a,298.15,2,0.4036,0.24719999999999998,0.3492,0.0,0.0,0.0,0.0,0.0,0.8378,0.0125,0.1497,0.0,0.0,0.0,0.0,0.0,0.0192,0.4562,0.5246,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
28,3,a,298.15,2,0.401,0.3,0.299,0.0,0.0,0.0,0.0,0.0,0.8709,0.0092,0.1199,0.0,0.0,0.0,0.0,0.0,0.0078000000000000005,0.5452,0.447,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
29,3,a,298.15,2,0.3931,0.3608,0.24609999999999999,0.0,0.0,0.0,0.0,0.0,0.8985,0.0072,0.0943,0.0,0.0,0.0,0.0,0.0,0.0025,0.6311,0.3664,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
30,3,a,298.15,2,0.4048,0.3969,0.19829999999999998,0.0,0.0,0.0,0.0,0.0,0.9175,0.0054,0.0771,0.0,0.0,0.0,0.0,0.0,0.0021,0.6995,0.2984,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
31,3,a,318.15,2,0.4025,0.15710000000000002,0.4404,0.0,0.0,0.0,0.0,0.0,0.6790999999999999,0.0408,0.2801,0.0,0.0,0.0,0.0,0.0,0.1059,0.2727,0.6214,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
32,3,a,318.15,2,0.397,0.2002,0.4028,0.0,0.0,0.0,0.0,0.0,0.7498,0.0264,0.2238,0.0,0.0,0.0,0.0,0.0,0.053899999999999997,0.3555,0.5906,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
33,3,a,318.15,2,0.405,0.2441,0.35090000000000005,0.0,0.0,0.0,0.0,0.0,0.8025,0.0187,0.1788,0.0,0.0,0.0,0.0,0.0,0.023,0.4537,0.5233,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
34,3,a,318.15,2,0.40380000000000005,0.2958,0.3004,0.0,0.0,0.0,0.0,0.0,0.8454999999999999,0.0168,0.1377,0.0,0.0,0.0,0.0,0.0,0.010700000000000001,0.5431,0.4462,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
35,3,a,318.15,2,0.4042,0.35,0.2458,0.0,0.0,0.0,0.0,0.0,0.878,0.0102,0.1118,0.0,0.0,0.0,0.0,0.0,0.0046,0.6228,0.3726,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
36,3,a,318.15,2,0.4018,0.39759999999999995,0.2006,0.0,0.0,0.0,0.0,0.0,0.9065000000000001,0.0068000000000000005,0.0867,0.0,0.0,0.0,0.0,0.0,0.004,0.6990000000000001,0.297,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
37,3,a,338.15,2,0.39640000000000003,0.15789999999999998,0.4457,0.0,0.0,0.0,0.0,0.0,0.5754,0.0767,0.3479,0.0,0.0,0.0,0.0,0.0,0.1344,0.2666,0.599,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
38,3,a,338.15,2,0.40130000000000005,0.19940000000000002,0.3993,0.0,0.0,0.0,0.0,0.0,0.6943,0.0418,0.2639,0.0,0.0,0.0,0.0,0.0,0.0682,0.3642,0.5676,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
39,3,a,338.15,2,0.4081,0.2545,0.33740000000000003,0.0,0.0,0.0,0.0,0.0,0.7816,0.025099999999999997,0.19329999999999997,0.0,0.0,0.0,0.0,0.0,0.0245,0.4769,0.4986,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
40,3,a,338.15,2,0.39630000000000004,0.3003,0.3034,0.0,0.0,0.0,0.0,0.0,0.8194,0.018600000000000002,0.162,0.0,0.0,0.0,0.0,0.0,0.0121,0.5535,0.43439999999999995,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
41,3,a,338.15,2,0.4017,0.3469,0.2514,0.0,0.0,0.0,0.0,0.0,0.8645,0.0134,0.12210000000000001,0.0,0.0,0.0,0.0,0.0,0.0046,0.6325,0.3629,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
42,3,a,338.15,2,0.4021,0.3969,0.201,0.0,0.0,0.0,0.0,0.0,0.8896999999999999,0.0103,0.1,0.0,0.0,0.0,0.0,0.0,0.0013,0.7084,0.2903,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
43,4,a,293.15,1,0.2458,0.5384,0.2158,0.0,0.0,0.0,0.0,0.0,0.9606,0.0031,0.0363,0.0,0.0,0.0,0.0,0.0,0.0012,0.7149,0.2839,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
44,4,a,293.15,1,0.2721,0.3292,0.3987,0.0,0.0,0.0,0.0,0.0,0.9037000000000001,0.0045000000000000005,0.09179999999999999,0.0,0.0,0.0,0.0,0.0,0.0046,0.4604,0.535,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
45,4,a,293.15,1,0.2043,0.2687,0.527,0.0,0.0,0.0,0.0,0.0,0.8847,0.006,0.1093,0.0,0.0,0.0,0.0,0.0,0.0076,0.364,0.6284000000000001,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
46,4,a,293.15,1,0.2024,0.4965,0.3011,0.0,0.0,0.0,0.0,0.0,0.9518000000000001,0.004,0.044199999999999996,0.0,0.0,0.0,0.0,0.0,0.0015,0.634,0.36450000000000005,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
47,4,a,293.15,1,0.3995,0.33399999999999996,0.26649999999999996,0.0,0.0,0.0,0.0,0.0,0.934,0.005,0.061,0.0,0.0,0.0,0.0,0.0,0.0018,0.5742,0.424,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
48,4,a,303.15,1,0.20550000000000002,0.2791,0.5154,0.0,0.0,0.0,0.0,0.0,0.9025,0.0078000000000000005,0.0897,0.0,0.0,0.0,0.0,0.0,0.020099999999999996,0.3608,0.6191,0.0,0.0,0.0,0.0,0.0,0.6735322062525475,-2.3393190657459235,0.5797053072042453
